dg1 [um],dg_feed [um],L1 [um],L2 [um],Freq [GHz],S11_dB,S21_dB
-6,-66,50,-92,0.68,-0.0039513144920005,-60.2084600342286
-6,-66,50,-92,0.685,-0.0040572890614508,-59.6995774055903
-6,-66,50,-92,0.69,-0.0041660122272462,-59.187699725926
-6,-66,50,-92,0.695,-0.004277580791724,-58.672732185553
-6,-66,50,-92,0.7,-0.0043920976722706,-58.1545780277597
-6,-66,50,-92,0.705,-0.0045096724266326,-57.6331384311674
-6,-66,50,-92,0.71,-0.0046304218399704,-57.1083123863427
-6,-66,50,-92,0.715,-0.0047544705827101,-56.5799965661594
-6,-66,50,-92,0.72,-0.0048819519499243,-56.0480851894456
-6,-66,50,-92,0.725,-0.0050130086949336,-55.5124698773294
-6,-66,50,-92,0.73,-0.0051477939718522,-54.9730395017059
-6,-66,50,-92,0.735,-0.0052864724048628,-54.4296800251896
-6,-66,50,-92,0.74,-0.0054292213049113,-53.882274331823
-6,-66,50,-92,0.745,-0.0055762320588121,-53.3307020477979
-6,-66,50,-92,0.75,-0.0057277117201413,-52.774839351355
-6,-66,50,-92,0.755,-0.0058838848374451,-52.2145587709391
-6,-66,50,-92,0.76,-0.0060449955619807,-51.649728970619
-6,-66,50,-92,0.765,-0.006211310085946,-51.0802145216952
-6,-66,50,-92,0.77,-0.0063831194725512,-50.5058756592783
-6,-66,50,-92,0.775,-0.0065607429518753,-49.9265680225568
-6,-66,50,-92,0.78,-0.0067445317724367,-49.3421423772859
-6,-66,50,-92,0.785,-0.0069348737173304,-48.7524443189416
-6,-66,50,-92,0.79,-0.007132198417871,-48.1573139547842
-6,-66,50,-92,0.795,-0.0073369836269819,-47.5565855629212
-6,-66,50,-92,0.8,-0.007549762651203,-46.9500872262496
-6,-66,50,-92,0.805,-0.0077711331857332,-46.3376404389543
-6,-66,50,-92,0.81,-0.0080017678538035,-45.7190596829715
-6,-66,50,-92,0.815,-0.0082424268228671,-45.094151971589
-6,-66,50,-92,0.82,-0.0084939729598173,-44.4627163570221
-6,-66,50,-92,0.825,-0.0087573901001609,-43.8245433984929
-6,-66,50,-92,0.83,-0.0090338051491143,-43.1794145869706
-6,-66,50,-92,0.835,-0.0093245149138227,-42.527101722318
-6,-66,50,-92,0.84,-0.0096310187970278,-41.867366238154
-6,-66,50,-92,0.845,-0.009955058777874,-41.1999584692572
-6,-66,50,-92,0.85,-0.0102986684846945,-40.5246168558112
-6,-66,50,-92,0.855,-0.0106642336529656,-39.8410670782328
-6,-66,50,-92,0.86,-0.0110545668934717,-39.1490211157428
-6,-66,50,-92,0.865,-0.0114730005160836,-38.4481762212264
-6,-66,50,-92,0.87,-0.011923502224639,-37.7382138043339
-6,-66,50,-92,0.875,-0.0124108199002419,-37.0187982142099
-6,-66,50,-92,0.88,-0.0129406635345674,-36.2895754127605
-6,-66,50,-92,0.885,-0.0135199348134284,-35.5501715290543
-6,-66,50,-92,0.89,-0.0141570180897289,-34.8001912854282
-6,-66,50,-92,0.895,-0.014862150809642,-34.0392162862748
-6,-66,50,-92,0.9,-0.015647897258831,-33.2668031616081
-6,-66,50,-92,0.905,-0.0165297573251017,-32.4824815596776
-6,-66,50,-92,0.91,-0.0175269525951907,-31.6857519866773
-6,-66,50,-92,0.915,-0.0186634465956332,-30.8760834977574
-6,-66,50,-92,0.92,-0.0199692758774089,-30.0529112532407
-6,-66,50,-92,0.925,-0.0214822961092993,-29.2156339688717
-6,-66,50,-92,0.93,-0.0232504855084295,-28.3636113115688
-6,-66,50,-92,0.935,-0.0253350013078176,-27.4961613261934
-6,-66,50,-92,0.94,-0.0278142600912013,-26.6125580297672
-6,-66,50,-92,0.945,-0.0307894192935621,-25.712029385455
-6,-66,50,-92,0.95,-0.0343917890573403,-24.7937559816647
-6,-66,50,-92,0.955,-0.0387929217804993,-23.85687090995
-6,-66,50,-92,0.96,-0.0442184420366549,-22.9004615863838
-6,-66,50,-92,0.965,-0.0509671382226908,-21.9235746358276
-6,-66,50,-92,0.97,-0.0594375081737343,-20.9252255189408
-6,-66,50,-92,0.975,-0.0701649367924003,-19.9044154206556
-6,-66,50,-92,0.98,-0.0838741367537494,-18.8601591742842
-6,-66,50,-92,0.985,-0.101553626432583,-17.7915298696135
-6,-66,50,-92,0.99,-0.124562170348193,-16.6977285737855
-6,-66,50,-92,0.995,-0.154781698938919,-15.5781916669714
-6,-66,50,-92,1.0,-0.194837788980622,-14.432754123534
-6,-66,50,-92,1.005,-0.24841783573167,-13.2618950569012
-6,-66,50,-92,1.01,-0.320728673244384,-12.0671019099115
-6,-66,50,-92,1.015,-0.419148212379757,-10.8514001422262
-6,-66,50,-92,1.02,-0.554134400549767,-9.6201004056837
-6,-66,50,-92,1.025,-0.740445655707511,-8.38180039168475
-6,-66,50,-92,1.03,-0.998670641888784,-7.14961310104092
-6,-66,50,-92,1.035,-1.35691355777136,-5.94242631240048
-6,-66,50,-92,1.04,-1.85218839324158,-4.78567883612529
